lineage_1,lineage_2,lineage_3,ABL1,ACVR2A,ACVR2B,TRIB1,BRSK2,AKT1,AKT2,AKT3,ALK,ACVRL1,ACVR1,BMPR1A,ACVR1B,TGFBR1,PRKAA1,PRKAA2,NPR1,NPR2,ATM,ATR,AURKC,AXL,GRK2,MAP4K2,BLK,BRAF,BTK,BUB1B,CDK7,CAMK2G,CAMK4,CAMKV,DCLK1,CDK1,CDC7,CDK2,CDK3,CDK4,CDK5,CDK6,CDK8,PRKG1,PRKG2,CDK13,CHEK1,CSNK1A1,CSNK1D,CSNK1G2,CSNK2A1,CSNK2A2,CLK1,CLK2,CLK3,MAP3K8,CSK,MARK3,DAPK2,MAP3K12,CDC42BPG,PRKDC,DYRK1B,DYRK2,EGFR,MARK2,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHB3,MAPK3,MAPK1,MAPK6,MAPK4,PTK2,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT3,FLT4,MTOR,GAK,GRK4,GRK6,TRIB2,GSK3A,GSK3B,HCK,ERBB2,ERBB3,ERBB4,HIPK1,MAP4K1,IGF1R,CHUK,IKBKB,ILK,INSR,IRAK1,IRAK2,IRAK3,ERN1,INSRR,JAK1,JAK2,JAK3,MAPK10,IKBKE,MAST3,STK36,PIM3,KIT,CDKL2,KSR1,LCK,LIMK2,STK11,LTK,LYN,MAK,MAPKAPK2,MAPKAPK5,MARK1,MAST2,MAP2K1,MAP2K2,MAP2K5,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MERTK,MET,AMHR2,MAP2K7,MAP3K9,MAP3K10,DYRK1A,MKNK1,MKNK2,MOS,MAP2K3,MAP2K4,CDC42BPB,RPS6KA4,STK4,STK3,STK24,PKMYT1,STK38,NEK1,NEK2,NEK3,MAP3K14,NEK4,IRAK4,PIK3R4,ROCK2,MAPK14,RPS6KB1,PAK1,PAK2,CDK16,PDGFRA,PDGFRB,PDPK1,PDK2,PDK3,PDK4,EIF2AK3,PHKG1,PIM1,PIM2,CDK10,CDK9,MELK,PRKACA,PRKACB,PRKACG,PRKCA,PRKCD,PRKCE,PRKCI,PRKCZ,PRKX,PLK1,PLK3,PKN1,PKN2,RAF1,RET,GRK1,RIPK1,RIPK2,RIPK3,ROCK1,ROR1,ROR2,RPS6KA2,RPS6KA3,RPS6KA1,RYK,PLK4,MAPK13,MAST1,SGK1,SLK,PLK2,MAP3K11,SRC,SRPK1,SRPK2,TAOK2,SYK,MAP3K7,BMPR2,TESK1,TGFBR2,TIE1,TTN,TLK1,TLK2,TNK1,TRIO,TRKA,TRRAP,TTK,TXK,TYK2,TYRO3,ULK2,VRK1,WEE1,YES1,ZAP70,MAP3K13,ADCK1,KDR,ACVR1C,AURKB,AURKA,MAPK7,BUB1,LIMK1,AATK,LMTK2,LMTK3,EPHA7,MATK,NEK6,NEK7,AAK1,TRPM7,SRMS,MAP4K3,OXSR1,PAK6,PAK4,STK39,STRADA,STRADB,TAOK3,TAOK1,MAP4K4,MINK1,LATS2,ULK3,PDIK1L,SCYL1,MASTL,PINK1,DCLK3,PKDCC,TP53RK,MAPK15,CDKL4,SCYL3,NEK9,TSSK3,NUAK2,RPS6KL1,TSSK2,NEK8,NRBP1,PRKD2,CAMKK2,CDK12,STK17A,PRKD3,EIF2AK4,STK40,STK35,HIPK2,EIF2AK1,CILK1,ERN2,STK38L,SIK3,MOK,STK16,WNK1,CDKL3,PKN3,SIK2,DSTYK,RPS6KC1,NRBP2,STKLD1,TSSK6,TTBK1,DCLK2,TBK1,TESK2,KALRN,TSSK4,VRK3,CSNK1A1L,RIPK4,NEK5,GRK7,SBK2,HIPK4,WNK4,SBK3,BRSK1,SIK1,RIOK3,RIOK1,SNRK,EPHA10,POMK,WNK3,NEK10,EPHA6,SBK1,UHMK1,PNCK,TBCK,SMG1,MYLK2,MAP3K15,LRRK2,HASPIN,CIT,CAMKK1,TEX14,MAST4,BMP2K,TSSK1B,ADCK2,DAPK3,RIOK2,BRD2,BRD4,ALPK3,ADCK5,TRIM24,TRIM28,TRIM33,PAN3,STK19,TAF1,BCR,ABR,TRIM66,BAZ1A,BAZ1B
Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38712667,0,0,0,0,0,0,0,-1.318581859,-1.169350123,0,0,0,0,-2.849791279,-2.41212995,-0.831851383,0,-0.65523291,0,0,0,0,0,0,-1.778592513,-0.870934275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.142676832,0,0,0,0,0,0,0,0,0,0,0,0,-0.885614445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.830200974,0,-1.184919625,0,0,0,0,0,0,0,0,-1.443774194,0,0,0,0,0,0,0,0,0,0,-2.10559476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1675678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.755525781,0,0,0,-1.970562437,-0.908284421,0,0,-0.573262955,0,0,-2.251510377,0,0,0,0,0,0,-2.447271135,-1.615779583,0,-1.008091664,0,0,0,0,0,0,0,0,0,-1.225033053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.734541133,0,0,0,-0.57182905,0,0,0,0,0,0,0,0,0,-1.30122027,0,0,-0.622867831,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.747711291,0,0,-0.677246734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.909465836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.547197063,0,0,0,0,0,0,0,-0.872189489,0,-0.770804539,0,0,0,0,0,0,0,-0.526332108,0,0,0,0,0
Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,0,0,0,0,0,0,0,0,0,0,0,-0.538506212,0,0,0,0,0,0,0,-1.277495603,0,0,0,0,0,0,0,-0.704591073,-1.681830713,0,0,0,0,-2.219655539,-1.626855666,-0.743853561,0,0,0,0,0,0,0,0,-1.584953637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.500517164,0,0,0,0,0,0,0,0,0,-0.807272121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.569279618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.129008877,0,0,0,0,0,0,0,0,-1.528387385,0,0,0,0,0,0,0,0,0,0,-2.57972618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.287233983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.517317228,-1.077505129,0,0,0,0,0,-2.733651775,0,0,0,0,0,0,-2.244140779,-1.430706159,0,-0.586586144,0,0,0,0,0,0,0,0,0,-1.147677091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.469081065,0,0,0,-0.556386384,0,0,0,0,0,0,0,0,0,-0.907782289,0,0,-0.690714992,0,0,0,0,0,0,0,0,0,0,0,-0.603494652,0,-1.292202972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.894379191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.508689532,0,-0.527895863,0,0,0,0,0,-1.333409025,0,-1.374544931,0,0,0,0,0,0,0,-0.974071157,0,0,0,0,0
Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.214530801,0,0,0,0,0,0,0,-1.120441731,-1.868743234,0,0,0,0,-2.508303032,-1.924668709,-0.567063829,0,-0.614033921,0,0,0,0,0,0,-1.574315988,-1.115153869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.965835322,-0.579169315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.224999082,-1.017182845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.904203263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.655085313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.376594782,0,0,0,0,0,0,0,-0.561283638,0,0,0,0,0,0,0,0,-1.186191722,0,0,0,0,0,0,0,0,-1.587603913,0,0,0,0,0,0,0,-0.590904333,0,0,-2.337892392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.198206399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.771016108,0,0,0,-1.014324307,-0.709574923,0,0,0,0,-0.546316557,-2.585886869,0,0,0,0,0,0,-2.491557214,-0.799511892,0,-1.024986351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34063376,0,0,0,-1.101422787,0,0,0,0,0,0,0,0,0,0,0,0,-0.700786503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.919965483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.188363631,0,0,0,0,0,0,0,-1.167137778,0,-0.597088343,0,0,0,-0.528354543,0,0,0,-0.961959708,0,0,0,0,0
Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.541760526,0,0,0,0,0,0,0,-1.053274093,-2.102029634,0,0,0,0,-2.121166943,-2.230231562,0,0,-0.670339539,0,-0.667494687,0,0,0,0,-1.907517192,-1.089432509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.506053917,0,0,0,0,0,0,0,0,0,0,-1.115502373,0,0,0,0,0,0,0,0,0,-1.107164592,-0.739323289,0,0,0,0,0,0,0,0,0,0,0,-0.652219605,0,0,-0.631823541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.355651124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.969387892,0,0,0,0,0,0,0,0,-1.340834528,0,0,0,0,0,0,0,0,0,0,-2.84924859,0,0,-0.750771793,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.454739795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.869650101,0,0,0,-0.890416326,-0.693921459,0,0,0,0,-0.729183157,-3.007538516,0,0,0,0,0,0,-2.011184075,-0.883804243,0,-0.979386292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.438583478,0,0,0,-1.044382576,0,0,0,0,0,0,0,0,0,-0.649353202,0,0,-0.721584135,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.697526536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.446053584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.281949853,0,-0.890360691,0,0,0,-0.502875092,0,0,0,-0.700271224,0,0,0,0,0
Lymphoid,Mature T and NK Neoplasms,Adult T-Cell Leukemia/Lymphoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.460928021,0,0,0,0,0,0,0,-0.868346836,-1.370364497,0,0,0,0,-2.343691034,-2.2083774,-0.605450786,0,-0.526038365,0,0,0,0,0,0,-1.447038792,-0.617641161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.142410787,-0.519145039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.142092486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.320485583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.827914047,0,0,0,0,0,0,0,0,-1.783902723,0,0,0,0,0,0,0,0,0,0,-2.105497916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.211230884,0,0,0,0,0,-0.619416375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.995952296,0,0,0,0,0,-2.953722638,0,0,0,0,0,0,-2.317084247,-0.90408858,0,0,0,0,0,0,0,0,0,0,0,-0.589935573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57777017,0,0,0,-0.905152573,0,0,0,0,0,0,0,0,0,-1.095276311,0,0,-0.625431216,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.286876764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.279652171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.629731339,0,-0.845600985,-0.657011645,0,0,0,0,0,0,0,0,-0.761494085,0,0,0,0,0
Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,0,0,0,0,0,-0.532829068,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.246566034,0,0,0,0,0,0,0,-0.853999647,-1.668725371,0,0,0,0,-2.508427646,-2.329108991,0,0,-0.636734796,0,-1.408020662,0,0,0,0,-1.723459379,-0.959245458,0,0,0,0,0,0,0,0,-0.690873893,0,0,0,0,0,0,0,0,-0.804336215,0,0,0,0,0,0,0,0,0,0,-1.624624261,0,0,0,0,0,0,0,0,0,-1.394359645,-0.569724267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.761750542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.539330442,0,0,0,0,0,0,0,0,0,0,-1.372035825,0,0,0,0,0,0,0,-0.535425788,0,-1.074853128,0,0,0,0,0,0,-1.484637329,0,0,0,0,0,0,0,0,-1.483039718,0,0,0,0,-0.590914868,0,0,0,0,0,-2.77657234,0,0,-0.739975762,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.028418568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.290999817,0,-1.348888385,0,-0.964043366,-0.667574596,0,0,0,0,0,-2.403742085,0,0,0,0,0,0,-2.348302066,-1.345589256,0,-1.002907124,0,0,0,0,0,0,0,0,0,-0.514094598,0,0,0,0,0,0,-0.570651942,0,0,0,0,0,0,0,0,-1.211044291,-0.999602155,0,0,0,-1.271695595,0,0,0,0,0,0,0,0,0,-1.505072235,0,0,-0.840514646,0,0,-0.766701399,0,0,0,0,0,0,0,0,0,0,-1.392085397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550704372,0,-1.523541789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.023467847,-0.510471027,-1.261665908,0,0,0,0,0,0,0,-0.792762008,0,0,0,0,-0.697015286
CNS/Brain,Diffuse Glioma,Glioblastoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.149426611,0,0,0,0,0,0,0,-1.108613894,-2.133722942,0,0,0,0,-2.374122744,-2.173282518,0,0,-1.156843189,0,0,0,0,0,-0.508354595,-0.928547864,-1.545197863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.605583258,0,0,0,0,0,0,0,0,0,-1.431847172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681241763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.511748621,0,0,0,0,-0.926992591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.847432281,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.470096375,0,0,0,0,0,0,0,-0.98866822,0,0,0,0,0,0,0,0,-1.074617525,0,0,0,0,0,0,0,0,-1.720169435,0,0,0,0,0,0,0,0,0,0,-2.369035776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.965249678,0,0,0,0,0,-0.518773159,0,0,0,0,0,-1.37618064,0,0,0,0,0,0,-0.719415589,0,0,0,-1.215175251,-1.007016776,0,0,0,0,0,-2.077475513,0,0,0,0,0,0,-2.050524625,-0.873107535,0,-0.932247796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.509956835,0,0,0,0,0,0,0,-1.038063154,0,0,0,-1.059050785,0,0,0,0,0,0,0,0,0,-0.722413406,0,0,-0.758433841,0,0,-0.72157686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.910339527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.673656307,-0.920256172,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS/Brain,Embryonal Tumor,Medulloblastoma,0,0,0,0,0,0,0,0,0,0,0,-0.531113855,0,0,0,0,0,0,0,-1.345279521,0,0,0,0,0,0,0,-1.282420841,-1.480210976,0,0,0,0,-2.610079664,-2.127414143,-0.59584894,0,0,0,-1.870100685,-1.276978707,0,0,0,-1.277452906,-1.437400614,0,0,-0.558103657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.575515563,0,0,0,0,0,0,0,0,0,-1.967231514,-0.518973848,0,0,0,0,0,0,0,0,0,0,0,-0.796291642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.609167473,0,0,0,0,0,0,0,0,0,0,0,0,-0.64066017,0,0,0,0,0,-0.566253447,0,0,0,0,0,0,0,-0.646224495,0,0,0,0,0,0,0,0,0,0,-1.289312136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.163747576,0,0,0,0,0,0,0,0,-1.672907779,0,0,0,0,0,0,0,0,0,0,-1.673686419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.366407876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.471543137,-0.8093123,0,0,0,0,-0.830317938,-2.814556237,0,0,0,0,0,0,-2.154543978,-1.228812794,0,-0.797389846,0,0,0,0,0,0,0,0,0,-0.849522584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.117303877,-1.089294896,0,0,0,-0.580272993,0,0,0,0,0,0,0,0,0,-1.007072487,0,0,-0.713823564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.960434329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8302863,0,-1.050011137,0,0,0,0,0,0,0,-0.722802983,0,0,0,0,0
CNS/Brain,Embryonal Tumor,Medulloblastoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.305734116,0,0,0,0,0,0,0,-1.655666726,-1.312970466,0,0,0,0,-2.381943987,-2.597087246,-0.841943331,0,0,0,-0.991885244,-1.362986861,0,0,0,-1.51168073,-0.792730359,0,0,-0.520155163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.319170862,-0.644421577,0,0,0,0,0,0,0,0,0,0,0,-0.98931608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.813061276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37484458,0,0,0,0,0,0,0,0,-1.24564541,0,0,0,0,0,0,0,0,0,0,-2.821474432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74750243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.695555548,0,0,0,-1.513552191,-0.889302859,0,0,0,0,-0.91517522,-1.953766903,0,0,0,0,0,0,-2.558828398,-0.899936714,0,-1.020455045,0,0,0,0,0,0,0,0,0,-1.030465428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.511749888,-1.093543868,0,0,0,-0.749534292,0,0,0,0,0,0,0,0,0,-1.234382639,0,0,-0.611041052,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.607868645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.610666765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.60346558,0,0,0,0,0,0,0,-1.211268631,0,-0.913415518,0,0,0,0,0,0,0,-0.623608759,0,0,0,0,0
CNS/Brain,Diffuse Glioma,Glioblastoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.725512274,-1.789296476,0,0,0,0,-2.488314838,-1.647815811,-0.970278449,0,-0.703757053,0,-1.165484675,0,0,0,0,-1.68498731,-1.093398253,0,0,0,0,0,0,0,0,-0.896147099,0,0,0,0,0,0,0,-0.578738582,0,0,0,0,0,0,0,0,0,0,0,-0.836981471,0,0,0,0,0,0,0,0,0,-1.150065468,-0.544652307,0,0,0,0,0,0,0,0,0,0,0,-0.998892145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.718270858,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.501480223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.155583784,0,0,0,0,0,0,0,0,-1.168527692,0,0,0,0,0,0,0,0,0,0,-2.06113737,0,0,-0.720172054,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.50444518,0,0,0,0,0,-0.580762784,0,0,0,0,0,0,0,0,0,0,0,-1.366680322,0,0,-0.538411578,0,-1.009805871,0,0,0,-0.55979124,0,-0.937978414,-2.460872781,0,0,0,0,0,0,-2.213378893,-0.901770797,0,-0.855018727,0,-0.777932401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.682807963,0,0,0,0,0,0,0,0,-0.822388528,0,0,0,-0.971517484,0,0,0,0,0,0,0,0,0,0,0,0,-0.552298951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.028602844,0,0,0,0,0,0,0,0,0,0,-0.647680763,0,0,0,0,0,0,0,0,0,0,0,0,-0.731985821,0,-1.029303444,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS/Brain,Diffuse Glioma,Glioblastoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.821291013,0,0,0,0,0,0,0,0,-0.807066656,0,0,0,0,-1.461900345,-2.284111811,-1.54317064,0,0,0,0,0,0,0,0,-2.012408545,-1.625838531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.879963446,0,0,0,0,0,0,0,0,0,-1.78908553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.598876021,0,-1.078661494,0,0,0,0,0,0,0,0,-1.284571496,0,0,0,0,0,0,0,0,0,0,-3.167585958,0,0,-0.578359822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.512503196,0,0,-0.715036436,0,0,0,-0.803123269,-0.841525163,0,0,0,0,0,-2.580441594,0,0,0,0,0,0,-1.815348812,-1.89795051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69257928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.569078754,0,0,0,0,0,0,0,0,0,-0.814830628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.541667415,0,0,0,0,-1.402449252,0,0,0,0,0,0,0,0,0,0,-1.747116683,0,0,0,0,0,0,0,0,0,0,0,0,-1.043708815,0,-0.794413275,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowel,Colorectal Adenocarcinoma,Colorectal Adenocarcinoma,0,0,0,-1.152088226,0,-0.543762753,0,0,0,0,0,-0.799956756,0,0,0,0,0,0,0,-1.061722285,0,0,0,0,0,0,0,-1.427999261,-0.919885907,0,0,0,0,-2.633476812,-2.505149235,-0.59536366,0,-1.060954354,0,-0.746530418,0,0,0,0,-1.515321725,-1.415949172,0,0,-0.591395586,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.785265241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.399946206,0,0,0,0,0,0,0,0,0,0,0,0,-0.680257721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.593860177,0,0,0,0,0,0,0,0,-1.000784471,0,-0.68345824,0,0,0,0,0,0,0,0,-3.162890499,0,0,0,-0.743949697,0,0,0,0,0,-0.915768984,0,0,0,0,0,0,-1.765117764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.680245569,-1.087344227,0,0,0,-1.276906348,-0.562215792,0,0,0,0,-0.535890452,-2.272937684,0,0,0,0,0,0,-3.070941612,-1.047734363,0,-0.845870543,0,0,0,0,0,0,0,0,0,-1.388749895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.210517566,-1.844773817,0,0,0,0,-0.535649939,0,0,0,0,0,0,0,0,-0.807566021,0,0,-0.686539064,0,0,0,-1.255844912,0,0,0,0,0,0,0,0,0,-0.582430247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.62716154,0,0,0,0,-1.357248488,0,0,0,-0.639664706,0,0,0,-0.812916577,0,-0.742665336,0,0,0,-0.613540905,0,0,0,0,0,0,0,0,0
